ID;jugador_ID;jornada_ID;convocado;titular;goles;asistencias;tarjeta
1;3;1;1;1;0;1;NO
2;14;1;1;1;0;0;NO
3;17;1;1;0;0;0;NO
4;11;1;0;0;0;0;NO
5;6;1;0;0;0;0;NO
6;1;1;1;0;0;0;NO
7;15;1;1;1;0;0;NO
8;16;1;1;0;0;0;NO
9;2;1;0;0;0;0;NO
10;7;1;1;1;0;0;AMARILLA
11;18;1;1;1;2;0;NO
12;9;1;0;0;0;0;NO
13;5;1;0;0;0;0;NO
14;19;1;1;1;0;1;NO
15;10;1;0;0;0;0;NO
16;13;1;0;0;0;0;NO
17;4;1;1;1;0;0;NO
18;12;1;1;0;0;0;NO
19;8;1;0;0;0;0;NO
20;3;2;1;1;0;1;NO
21;14;2;1;1;1;0;NO
22;17;2;1;0;0;0;NO
23;11;2;0;0;0;0;NO
24;6;2;0;0;0;0;NO
25;1;2;1;0;0;0;NO
26;15;2;1;0;0;0;NO
27;16;2;1;1;0;0;NO
28;2;2;0;0;0;0;NO
29;7;2;1;1;0;0;NO
30;18;2;1;1;1;0;NO
31;9;2;1;0;0;0;NO
32;5;2;0;0;0;0;NO
33;19;2;1;1;0;0;NO
34;10;2;0;0;0;0;NO
35;13;2;1;0;0;0;NO
36;4;2;1;1;1;1;NO
37;12;2;1;0;0;0;NO
38;8;2;0;0;0;0;NO
39;3;3;1;1;0;0;NO
40;14;3;1;1;0;0;NO
41;17;3;1;0;0;0;NO
42;11;3;0;0;0;0;NO
43;6;3;0;0;0;0;NO
44;1;3;1;1;1;0;NO
45;15;3;1;1;0;0;NO
46;16;3;0;0;0;0;NO
47;2;3;0;0;0;0;NO
48;7;3;1;1;0;0;NO
49;18;3;1;1;1;0;NO
50;9;3;1;0;0;0;NO
51;5;3;0;0;0;0;NO
52;19;3;1;0;0;0;NO
53;10;3;0;0;0;0;NO
54;13;3;1;0;0;0;NO
55;4;3;1;1;0;0;NO
56;12;3;1;0;0;0;NO
57;8;3;0;0;0;0;NO
58;3;4;1;1;0;0;NO
59;14;4;1;1;0;0;NO
60;17;4;1;0;0;0;NO
61;11;4;1;0;0;0;AMARILLA
62;6;4;0;0;0;0;NO
63;1;4;1;1;0;0;NO
64;15;4;1;0;0;0;NO
65;16;4;0;0;0;0;NO
66;2;4;0;0;0;0;NO
67;7;4;1;1;0;0;NO
68;18;4;1;1;1;0;NO
69;9;4;0;0;0;0;NO
70;5;4;0;0;0;0;NO
71;19;4;1;0;0;0;NO
72;10;4;0;0;0;0;NO
73;13;4;1;0;0;0;NO
74;4;4;1;1;0;0;NO
75;12;4;1;1;0;0;NO
76;8;4;0;0;0;0;NO
77;3;5;1;1;0;0;NO
78;14;5;1;1;0;0;NO
79;17;5;1;0;0;0;NO
80;11;5;0;0;0;0;NO
81;6;5;0;0;0;0;NO
82;1;5;1;0;0;0;NO
83;15;5;1;1;0;0;NO
84;16;5;0;0;0;0;NO
85;2;5;0;0;0;0;NO
86;7;5;1;1;0;0;NO
87;18;5;1;1;0;0;NO
88;9;5;0;0;0;0;NO
89;5;5;0;0;0;0;NO
90;19;5;1;0;0;0;NO
91;10;5;0;0;0;0;NO
92;13;5;1;0;0;0;NO
93;4;5;1;1;0;0;NO
94;12;5;1;1;0;0;NO
95;8;5;0;0;0;0;NO
96;3;6;1;1;0;0;NO
97;14;6;1;0;0;0;NO
98;17;6;1;0;0;0;NO
99;11;6;0;0;0;0;NO
100;6;6;0;0;0;0;NO
101;1;6;1;1;0;1;NO
102;15;6;1;1;0;0;NO
103;16;6;1;1;0;0;NO
104;2;6;0;0;0;0;NO
105;7;6;0;0;0;0;NO
106;18;6;1;1;0;0;NO
107;9;6;0;0;0;0;NO
108;5;6;0;0;0;0;NO
109;19;6;1;0;0;0;NO
110;10;6;0;0;0;0;NO
111;13;6;1;0;0;0;NO
112;4;6;1;1;0;0;NO
113;12;6;1;1;1;0;NO
114;8;6;0;0;0;0;NO
115;3;7;1;1;0;0;NO
116;14;7;1;1;0;0;NO
117;17;7;0;0;0;0;NO
118;11;7;0;0;0;0;NO
119;6;7;0;0;0;0;NO
120;1;7;1;1;1;0;NO
121;15;7;1;1;0;0;NO
122;16;7;1;1;0;0;NO
123;2;7;0;0;0;0;NO
124;7;7;0;0;0;0;NO
125;18;7;1;1;2;1;NO
126;9;7;0;0;0;0;NO
127;5;7;0;0;0;0;NO
128;19;7;1;0;0;0;NO
129;10;7;0;0;0;0;NO
130;13;7;1;0;0;0;NO
131;4;7;1;1;0;1;NO
132;12;7;1;0;0;0;NO
133;8;7;0;0;0;0;NO
134;3;8;1;1;0;0;NO
135;14;8;1;1;0;0;NO
136;17;8;1;0;0;0;NO
137;11;8;1;1;0;1;NO
138;6;8;0;0;0;0;NO
139;1;8;1;1;0;1;NO
140;15;8;1;0;0;0;NO
141;16;8;1;1;0;0;NO
142;2;8;0;0;0;0;NO
143;7;8;0;0;0;0;NO
144;18;8;1;1;2;2;NO
145;9;8;1;0;2;0;NO
146;5;8;0;0;0;0;NO
147;19;8;0;0;0;0;NO
148;10;8;0;0;0;0;NO
149;13;8;1;0;0;0;NO
150;4;8;1;1;1;0;NO
151;12;8;0;0;0;0;NO
152;8;8;0;0;0;0;NO
153;3;9;1;1;0;0;NO
154;14;9;1;1;0;0;NO
155;17;9;0;0;0;0;NO
156;11;9;0;0;0;0;NO
157;6;9;1;0;0;0;NO
158;1;9;1;1;0;0;NO
159;15;9;1;1;0;0;NO
160;16;9;1;1;0;0;NO
161;2;9;0;0;0;0;NO
162;7;9;0;0;0;0;NO
163;18;9;1;1;0;0;NO
164;9;9;0;0;0;0;NO
165;5;9;0;0;0;0;NO
166;19;9;0;0;0;0;NO
167;10;9;0;0;0;0;NO
168;13;9;1;0;0;0;NO
169;4;9;1;1;0;0;NO
170;12;9;1;0;0;0;NO
171;8;9;0;0;0;0;NO
172;3;10;1;1;0;0;NO
173;14;10;1;1;0;0;NO
174;17;10;1;0;0;0;NO
175;11;10;0;0;0;0;NO
176;6;10;1;0;1;0;NO
177;1;10;1;1;1;0;NO
178;15;10;0;0;0;0;NO
