id,temporadaId,equipoId,jornada,puntos,partidosGanados,partidosEmpatados,partidosPerdidos,golesAFavor,golesEnContra
1,1,1,1,0,0,0,1,3,4
2,1,2,1,3,1,0,0,4,2
3,1,3,1,0,0,0,1,1,2
4,1,4,1,0,0,0,1,0,2
5,1,5,1,0,0,0,1,1,8
6,1,6,1,3,1,0,0,8,1
7,1,7,1,3,1,0,0,2,0
8,1,8,1,3,1,0,0,2,1
9,1,9,1,0,0,0,1,1,2
10,1,10,1,0,0,0,1,2,4
11,1,11,1,3,1,0,0,4,3
12,1,12,1,3,1,0,0,2,1
13,1,1,2,3,1,0,1,7,6
14,1,2,2,3,1,0,1,6,6
15,1,3,2,3,1,0,1,6,4
16,1,4,2,0,0,0,2,1,6
17,1,5,2,3,1,0,1,5,9
18,1,6,2,6,2,0,0,11,2
19,1,7,2,3,1,0,1,3,4
20,1,8,2,6,2,0,0,6,2
21,1,9,2,0,0,0,2,3,7
22,1,10,2,0,0,0,2,4,7
23,1,11,2,3,1,0,1,5,6
24,1,12,2,6,2,0,0,5,3
25,1,1,3,4,1,1,1,9,8
26,1,2,3,6,2,0,1,9,7
27,1,3,3,3,1,0,2,7,6
28,1,4,3,1,0,1,2,3,8
29,1,5,3,3,1,0,2,9,14
30,1,6,3,9,3,0,0,17,2
31,1,7,3,3,1,0,2,3,10
32,1,8,3,9,3,0,0,11,6
33,1,9,3,1,0,1,2,5,9
34,1,10,3,3,1,0,2,6,8
35,1,11,3,3,1,0,2,6,9
36,1,12,3,7,2,1,0,7,5
37,1,1,4,4,1,1,2,12,16
38,1,2,4,7,2,1,1,10,8
39,1,3,4,6,2,0,2,15,9
40,1,4,4,4,1,1,2,6,8
41,1,5,4,3,1,0,3,11,17
42,1,6,4,12,4,0,0,22,3
43,1,7,4,3,1,0,3,5,13
44,1,8,4,9,3,0,1,12,11
45,1,9,4,4,1,1,2,8,11
46,1,10,4,3,1,0,3,6,11
47,1,11,4,6,2,0,2,9,11
48,1,12,4,8,2,2,0,8,6
49,1,1,5,7,2,1,2,18,20
50,1,2,5,8,2,2,1,14,12
51,1,3,5,7,2,1,2,19,13
52,1,4,5,4,1,1,3,10,14
53,1,5,5,4,1,1,3,12,18
54,1,6,5,15,5,0,0,29,6
55,1,7,5,6,2,0,3,9,14
56,1,8,5,9,3,0,2,13,15
57,1,9,5,4,1,1,3,11,18
58,1,10,5,4,1,1,3,7,12
59,1,11,5,9,3,0,2,14,11
60,1,12,5,8,2,2,1,8,11
61,1,1,6,7,2,1,3,22,25
62,1,2,6,11,3,2,1,21,15
63,1,3,6,10,3,1,2,21,14
64,1,4,6,4,1,1,4,13,21
65,1,5,6,7,2,1,3,17,22
66,1,6,6,16,5,1,0,31,8
67,1,7,6,9,3,0,3,16,15
68,1,8,6,12,4,0,2,19,18
