id,jornadaId,jugadorId,asistenciaJugadorId,minuto,esPenalti,esPropio
1,1,12,2,32,,,
2,1,12,,47,,,
3,2,3,18,31,,,
4,2,18,2,36,,,
5,2,12,15,48,,,
6,3,7,,12,,,
7,3,12,,18,,,
8,4,12,,16,,,
9,6,19,7,38,,,
10,7,12,18,18,,,
11,7,12,,30,,,
12,7,7,12,38,,,
13,8,18,12,13,,,
14,8,12,,30,,,
15,8,13,12,36,,,
16,8,13,7,38,,,
17,8,12,5,45,,,
18,10,18,12,14,,,
19,10,7,,20,,,
20,10,6,,47,,,
21,11,3,,12,,true
22,11,19,11,20,,,
23,11,19,,40,,,
24,12,18,20,20,,,
25,12,19,,37,,,
26,13,20,18,32,,,
27,13,18,,38,,,
28,13,7,,43,,,
29,14,7,19,21,,,
30,14,6,,28,true,,
31,14,19,6,46,,,
32,15,18,20,33,,,
33,16,10,7,3,,,
34,16,7,17,18,,,
35,16,10,6,49,,,
36,17,7,18,17,,,
37,17,20,15,29,,,
38,18,19,,14,,,
39,18,12,19,22,,,
40,18,2,,29,,,
41,18,12,18,33,,,
42,18,12,11,37,,,
43,18,19,12,44,,,
44,19,6,,16,,,
45,19,12,7,31,,,
46,20,12,,22,,,
47,21,16,8,29,,,
48,22,20,,41,,,
