id,jornadaId,minuto,esPropio
1,1,41,
2,2,40,
3,2,45,
4,3,31,
5,3,45,
6,4,21,
7,5,18,
8,5,27,
9,5,29,
10,5,31,
11,5,46,
12,6,19,
13,6,30,
14,8,26,
15,8,42,
16,9,11,
17,9,15,
18,9,19,
19,9,23,
20,9,27,
21,9,29,
22,9,33,
23,9,37,    
24,9,39,
25,9,41,
26,9,43,
27,9,45,
28,10,7,
29,10,18,
30,10,23,
31,10,34,
32,11,30,
33,11,36,
34,12,23,
35,13,13,
36,13,20,
37,13,27,
38,14,13,
39,14,31,
40,14,39,
41,15,29,
42,15,41,
43,15,50,
44,16,10,
45,16,14,
46,16,20,
47,16,25,
48,16,30,
49,16,33,
50,16,37,
51,16,40,
52,16,42,
53,16,45,
54,17,9,
55,17,19,
56,17,33,
57,17,39,
58,17,43,
59,18,3,
60,18,7,
61,18,40,
62,18,49,
63,19,28,
64,19,42,
65,19,48,
66,20,16,
67,21,10,
68,21,18,
69,21,32,
70,21,40,true
71,22,19,
72,22,30,
73,22,48,
