id,jornadaId,jugadorId,esTitular,esMVP
1,1,2,true,
2,1,3,true,
3,1,4,,
4,1,7,,
5,1,8,true,
6,1,9,,
7,1,11,true,
8,1,12,true,true
9,1,15,true,
10,1,17,,
11,1,18,true,
12,1,19,,
13,2,2,true,true
14,2,3,true,
15,2,4,,
16,2,8,,
17,2,9,true,
18,2,11,true,
19,2,12,true,
20,2,13,,
21,2,15,true,
22,2,18,true,
23,2,19,,
24,3,2,true,
25,3,3,true,
26,3,4,,
27,3,7,true,
28,3,8,true,
29,3,11,true,
30,3,12,true,
31,3,13,,
32,3,15,,
33,3,17,,
34,3,18,true,
35,3,19,,
36,4,2,true,
37,4,3,true,
38,4,4,,
39,4,5,,
40,4,7,true,
41,4,8,,
42,4,11,true,
43,4,12,true,
44,4,15,,
45,4,17,,
46,4,18,true,
47,4,19,true,
48,5,2,true,
49,5,3,true,
50,5,4,,
51,5,7,,
52,5,8,true,
53,5,11,true,
54,5,12,true,
55,5,15,,
56,5,17,,
57,5,18,true,
58,5,19,true,
59,6,2,true,
60,6,3,,
61,6,4,,
62,6,7,true,
63,6,8,true,
64,6,9,true,
65,6,12,true,
66,6,15,true,
67,6,17,,
68,6,18,,
69,6,19,true,
70,7,2,true,
71,7,3,true,
72,7,7,true,
73,7,8,true,
74,7,9,true,
75,7,12,true,
76,7,15,,
77,7,17,,
78,7,18,true,
79,7,19,,
80,8,2,true,
81,8,3,true,
82,8,4,,
83,8,5,true,
84,8,7,true,
85,8,8,,
86,8,9,true,
87,8,12,true
88,8,13,,
89,8,17,,
90,8,18,true,
91,9,2,true,
92,9,3,true,
93,9,6,,
94,9,7,true,
95,9,8,true,
96,9,9,true,
97,9,12,true,
98,9,17,,
99,9,18,true,
100,9,19,,
101,10,2,true,
102,10,3,true,
103,10,4,,
104,10,6,,
105,10,7,true,
106,10,9,true,
107,10,12,true,
108,10,18,true,
109,10,19,true
110,11,2,true,
111,11,3,true,
112,11,4,,
113,11,6,,
114,11,7,true,
115,11,8,true,
116,11,9,true,
117,11,11,true,
118,11,13,,
119,11,15,,
120,11,18,true,
121,11,19,,
122,12,2,true,
123,12,3,true,
124,12,4,,
125,12,6,,
126,12,8,true,
127,12,9,true,
128,12,14,true,
129,12,15,,
130,12,18,true,
131,12,19,true,
132,12,20,,
133,13,2,true,
134,13,3,true,
135,13,4,,
136,13,6,true,
137,13,7,,
138,13,8,,
139,13,9,true,
140,13,11,true,
141,13,18,true,
142,13,20,true,
143,14,2,true,
144,14,3,true,
145,14,6,true,
146,14,7,true,
147,14,8,true,
148,14,15,,
149,14,18,true,
150,14,19,true,
151,15,2,true,
152,15,3,true,
153,15,4,,
154,15,6,,
155,15,7,true,
156,15,8,,
157,15,9,true,
158,15,14,,
159,15,17,,
160,15,18,true,
161,15,19,true,
162,15,20,true,
163,16,6,true,
164,16,7,true,
165,16,8,true,
166,16,10,true,
167,16,14,true,
168,16,15,,
169,16,17,,
170,16,18,true,
171,16,19,true,
172,17,2,,
173,17,6,true,
174,17,7,true,
175,17,11,true,
176,17,14,true,
177,17,15,true,
178,17,17,,
179,17,18,true,
180,17,19,true,
181,17,20,,
182,18,2,,
183,18,5,,
184,18,6,true,
185,18,7,true,
186,18,8,true,
187,18,9,true,
188,18,11,true,
189,18,12,,
190,18,15,true,
191,18,18,,
192,18,19,true,
193,19,2,true,
194,19,3,,
195,19,4,,
196,19,6,
197,19,7,true,
198,19,8,true,
199,19,12,true,
200,19,13,true,
201,19,15,
202,19,16,true,
203,19,18,true,
204,19,19,,
205,20,2,true,
206,20,3,true,
207,20,5,true,
208,20,7,,
209,20,8,,
210,20,10,true,
211,20,11,,
212,20,12,true,
213,20,14,,
214,20,18,true,
215,20,19,,
216,20,20,true,
217,21,2,true,
218,21,3,true,
219,21,5,true,
220,21,6,,
221,21,7,true,
222,21,8,true,
223,21,9,,
224,21,12,true,
225,21,15,,
226,21,16,,
227,21,17,,
228,21,18,true,
229,22,2,true,
230,22,3,true,
231,22,5,true,
232,22,7,,
233,22,8,,
234,22,9,true,
235,22,12,true,
236,22,14,,
237,22,15,,
238,22,18,true,
239,22,19,,
240,22,20,true,
